Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size 
1609949760,0,,Aggregated,106.100000,0.000000,94,94,110,110,110,160,170,190,360,380,380,4582,0,94,92.34744652981038,0,375.0,14.00261894369271
1609949762,0,,Aggregated,106.100000,0.000000,94,94,110,110,110,160,170,190,360,380,380,4582,0,94,92.34744652981038,0,375.0,14.00261894369271
1609949763,0,,Aggregated,106.100000,0.000000,94,94,110,110,110,160,170,190,360,380,380,4582,0,94,92.34744652981038,0,375.0,14.00261894369271
1609949764,0,,Aggregated,106.100000,0.000000,94,94,110,110,110,160,170,190,360,380,380,4582,0,94,92.34744652981038,0,375.0,14.00261894369271
1609949765,0,,Aggregated,106.100000,0.000000,94,94,110,110,110,160,170,190,360,380,380,4582,0,94,92.34744652981038,0,375.0,14.00261894369271
1609949766,0,,Aggregated,106.100000,0.000000,94,94,110,110,110,160,170,190,360,380,380,4582,0,94,92.34744652981038,0,375.0,14.00261894369271
1609949767,0,,Aggregated,106.100000,0.000000,94,94,110,110,110,160,170,190,360,380,380,4582,0,94,92.34744652981038,0,375.0,14.00261894369271
1609949768,0,,Aggregated,106.100000,0.000000,94,94,110,110,110,160,170,190,360,380,380,4582,0,94,92.34744652981038,0,375.0,14.00261894369271
1609949769,0,,Aggregated,106.100000,0.000000,94,94,110,110,110,160,170,190,360,380,380,4582,0,94,92.34744652981038,0,375.0,14.00261894369271
1609949770,0,,Aggregated,106.100000,0.000000,94,94,110,110,110,160,170,190,360,380,380,4582,0,94,92.34744652981038,0,375.0,14.00261894369271
1609949771,0,,Aggregated,106.100000,0.000000,94,94,110,110,110,160,170,190,360,380,380,4582,0,94,92.34744652981038,0,375.0,14.00261894369271
1609949772,0,,Aggregated,106.100000,0.000000,94,94,110,110,110,160,170,190,360,380,380,4582,0,94,92.34744652981038,0,375.0,14.00261894369271
1609949773,0,,Aggregated,106.100000,0.000000,94,94,110,110,110,160,170,190,360,380,380,4582,0,94,92.34744652981038,0,375.0,14.00261894369271
